[24.09.2014 16:47:27] DEBUG | Flag GS_FLAG_CONNECT_NEGOTIATE_FLAG set
[24.09.2014 16:47:27] DEBUG | Flag GS_FLAG_HAS_FULL_RULES set
[24.09.2014 16:47:27] DEBUG | Flag GS_FLAG_ICMP_IP set
[24.09.2014 16:47:27] DEBUG | Flag GS_FLAG_NONSTANDARD_PORT set
[24.09.2014 16:47:27] DEBUG | Flag GS_FLAG_NONSTANDARD_PRIVATE_PORT set
[24.09.2014 16:47:27] DEBUG | Flag GS_FLAG_PRIVATE_IP set
[24.09.2014 16:47:59] DEBUG | Flag GS_FLAG_CONNECT_NEGOTIATE_FLAG set
[24.09.2014 16:47:59] DEBUG | Flag GS_FLAG_HAS_FULL_RULES set
[24.09.2014 16:47:59] DEBUG | Flag GS_FLAG_ICMP_IP set
[24.09.2014 16:47:59] DEBUG | Flag GS_FLAG_NONSTANDARD_PORT set
[24.09.2014 16:47:59] DEBUG | Flag GS_FLAG_NONSTANDARD_PRIVATE_PORT set
[24.09.2014 16:47:59] DEBUG | Flag GS_FLAG_PRIVATE_IP set
[24.09.2014 16:48:08] DEBUG | Flag GS_FLAG_CONNECT_NEGOTIATE_FLAG set
[24.09.2014 16:48:08] DEBUG | Flag GS_FLAG_HAS_FULL_RULES set
[24.09.2014 16:48:08] DEBUG | Flag GS_FLAG_ICMP_IP set
[24.09.2014 16:48:08] DEBUG | Flag GS_FLAG_NONSTANDARD_PORT set
[24.09.2014 16:48:08] DEBUG | Flag GS_FLAG_NONSTANDARD_PRIVATE_PORT set
[24.09.2014 16:48:08] DEBUG | Flag GS_FLAG_PRIVATE_IP set
[24.09.2014 16:48:25] DEBUG | Flag GS_FLAG_CONNECT_NEGOTIATE_FLAG set
[24.09.2014 16:48:25] DEBUG | Flag GS_FLAG_HAS_FULL_RULES set
[24.09.2014 16:48:25] DEBUG | Flag GS_FLAG_ICMP_IP set
[24.09.2014 16:48:25] DEBUG | Flag GS_FLAG_NONSTANDARD_PORT set
[24.09.2014 16:48:25] DEBUG | Flag GS_FLAG_NONSTANDARD_PRIVATE_PORT set
[24.09.2014 16:48:25] DEBUG | Flag GS_FLAG_PRIVATE_IP set
[24.09.2014 16:50:25] DEBUG | Flag GS_FLAG_CONNECT_NEGOTIATE_FLAG set
[24.09.2014 16:50:25] DEBUG | Flag GS_FLAG_HAS_FULL_RULES set
[24.09.2014 16:50:25] DEBUG | Flag GS_FLAG_ICMP_IP set
[24.09.2014 16:50:25] DEBUG | Flag GS_FLAG_NONSTANDARD_PORT set
[24.09.2014 16:50:25] DEBUG | Flag GS_FLAG_NONSTANDARD_PRIVATE_PORT set
[24.09.2014 16:50:25] DEBUG | Flag GS_FLAG_PRIVATE_IP set
[24.09.2014 16:55:10] DEBUG | Flag GS_FLAG_CONNECT_NEGOTIATE_FLAG set
[24.09.2014 16:55:10] DEBUG | Flag GS_FLAG_HAS_FULL_RULES set
[24.09.2014 16:55:10] DEBUG | Flag GS_FLAG_ICMP_IP set
[24.09.2014 16:55:10] DEBUG | Flag GS_FLAG_NONSTANDARD_PORT set
[24.09.2014 16:55:10] DEBUG | Flag GS_FLAG_NONSTANDARD_PRIVATE_PORT set
[24.09.2014 16:55:10] DEBUG | Flag GS_FLAG_PRIVATE_IP set
[24.09.2014 16:56:02] DEBUG | Flag GS_FLAG_CONNECT_NEGOTIATE_FLAG set
[24.09.2014 16:56:02] DEBUG | Flag GS_FLAG_HAS_FULL_RULES set
[24.09.2014 16:56:02] DEBUG | Flag GS_FLAG_ICMP_IP set
[24.09.2014 16:56:02] DEBUG | Flag GS_FLAG_NONSTANDARD_PORT set
[24.09.2014 16:56:02] DEBUG | Flag GS_FLAG_NONSTANDARD_PRIVATE_PORT set
[24.09.2014 16:56:02] DEBUG | Flag GS_FLAG_PRIVATE_IP set
[24.09.2014 17:10:13] DEBUG | Flag GS_FLAG_CONNECT_NEGOTIATE_FLAG set
[24.09.2014 17:10:13] DEBUG | Flag GS_FLAG_HAS_FULL_RULES set
[24.09.2014 17:10:13] DEBUG | Flag GS_FLAG_ICMP_IP set
[24.09.2014 17:10:13] DEBUG | Flag GS_FLAG_NONSTANDARD_PORT set
[24.09.2014 17:10:13] DEBUG | Flag GS_FLAG_NONSTANDARD_PRIVATE_PORT set
[24.09.2014 17:10:13] DEBUG | Flag GS_FLAG_PRIVATE_IP set
[24.09.2014 17:16:53] DEBUG | Flag GS_FLAG_CONNECT_NEGOTIATE_FLAG set
[24.09.2014 17:16:53] DEBUG | Flag GS_FLAG_HAS_FULL_RULES set
[24.09.2014 17:16:53] DEBUG | Flag GS_FLAG_ICMP_IP set
[24.09.2014 17:16:53] DEBUG | Flag GS_FLAG_NONSTANDARD_PORT set
[24.09.2014 17:16:53] DEBUG | Flag GS_FLAG_NONSTANDARD_PRIVATE_PORT set
[24.09.2014 17:16:53] DEBUG | Flag GS_FLAG_PRIVATE_IP set
[24.09.2014 17:29:03] DEBUG | Flag GS_FLAG_CONNECT_NEGOTIATE_FLAG set
[24.09.2014 17:29:03] DEBUG | Flag GS_FLAG_HAS_FULL_RULES set
[24.09.2014 17:29:03] DEBUG | Flag GS_FLAG_ICMP_IP set
[24.09.2014 17:29:03] DEBUG | Flag GS_FLAG_NONSTANDARD_PORT set
[24.09.2014 17:29:03] DEBUG | Flag GS_FLAG_NONSTANDARD_PRIVATE_PORT set
[24.09.2014 17:29:03] DEBUG | Flag GS_FLAG_PRIVATE_IP set
[24.09.2014 17:30:35] DEBUG | Flag GS_FLAG_CONNECT_NEGOTIATE_FLAG set
[24.09.2014 17:30:35] DEBUG | Flag GS_FLAG_HAS_FULL_RULES set
[24.09.2014 17:30:35] DEBUG | Flag GS_FLAG_ICMP_IP set
[24.09.2014 17:30:35] DEBUG | Flag GS_FLAG_NONSTANDARD_PORT set
[24.09.2014 17:30:35] DEBUG | Flag GS_FLAG_NONSTANDARD_PRIVATE_PORT set
[24.09.2014 17:30:35] DEBUG | Flag GS_FLAG_PRIVATE_IP set
[24.09.2014 17:31:34] DEBUG | Flag GS_FLAG_CONNECT_NEGOTIATE_FLAG set
[24.09.2014 17:31:34] DEBUG | Flag GS_FLAG_HAS_FULL_RULES set
